scenario,wacc_scenario,lcoe_usd_mwh
ap1000,0.04,89.66422945042262
ap1000,0.04,98.48962718206636
ap1000,0.04,88.4769608954605
ap1000,0.04,102.45232274396055
ap1000,0.04,81.43281562407192
ap1000,0.04,97.86971376323203
ap1000,0.04,95.12919259653144
ap1000,0.04,102.29165391731144
ap1000,0.04,85.6193730310087
ap1000,0.04,87.38158124903649
ap1000,0.04,89.68087223735557
ap1000,0.04,100.27794114890604
ap1000,0.04,89.9505471579661
ap1000,0.04,95.06159982150696
ap1000,0.04,88.4031239216402
ap1000,0.04,101.4178197212638
ap1000,0.04,102.96869775252162
ap1000,0.04,90.60865314007921
ap1000,0.04,97.29316562820257
ap1000,0.04,95.25105278875199
ap1000,0.04,97.7431149122947
ap1000,0.04,95.18020005387424
ap1000,0.04,82.12497790057411
ap1000,0.04,88.90514767807291
ap1000,0.04,93.73729667000097
ap1000,0.04,100.19988472048968
ap1000,0.04,86.6677519139038
ap1000,0.04,88.23342077597844
ap1000,0.04,88.5610707780055
ap1000,0.04,104.17631398470706
ap1000,0.04,97.81949005694435
ap1000,0.04,98.05282217491214
ap1000,0.04,94.26604897682873
ap1000,0.04,94.20494965029503
ap1000,0.04,94.95314735058075
ap1000,0.04,92.19463802084708
ap1000,0.04,105.79574030447021
ap1000,0.04,84.24986144300784
ap1000,0.04,87.9408746765328
ap1000,0.04,96.9039461026068
ap1000,0.04,102.20855583233256
ap1000,0.04,99.20869860616482
ap1000,0.04,93.76819318479794
ap1000,0.04,96.88573268219159
ap1000,0.04,92.68866867705934
ap1000,0.04,99.88149455246854
ap1000,0.04,98.698744545277
ap1000,0.04,100.0652360365734
ap1000,0.04,98.27336286890737
ap1000,0.04,85.35594666977347
ap1000,0.04,93.37493896603893
ap1000,0.04,95.50836870580231
ap1000,0.04,104.45343177172829
ap1000,0.04,98.04504903751582
ap1000,0.04,90.41579154498854
ap1000,0.04,93.54807909832917
ap1000,0.04,95.09599090116178
ap1000,0.04,84.22657456566691
ap1000,0.04,84.16347089796463
ap1000,0.04,92.83664740255571
ap1000,0.04,99.62765879919905
ap1000,0.04,92.79403843911098
ap1000,0.04,105.24884252677255
ap1000,0.04,92.15017337029859
ap1000,0.04,95.16399468129492
ap1000,0.04,84.3879683554299
ap1000,0.04,89.90366216714062
ap1000,0.04,79.12293568593891
ap1000,0.04,101.85729969978682
ap1000,0.04,91.51056096565043
ap1000,0.04,104.44403337735393
ap1000,0.04,97.78507888559223
ap1000,0.04,89.6742886817144
ap1000,0.04,98.78615151823736
ap1000,0.04,84.20576802691454
ap1000,0.04,93.48224798045686
ap1000,0.04,83.57069039064558
ap1000,0.04,96.72020886555545
ap1000,0.04,89.98674285694432
ap1000,0.04,95.95782220094509
ap1000,0.04,88.71305000190429
ap1000,0.04,105.85545116459966
ap1000,0.04,92.2563362198623
ap1000,0.04,83.21889205610069
ap1000,0.04,90.64178534666738
ap1000,0.04,99.25357587608296
ap1000,0.04,88.67887341202659
ap1000,0.04,90.36023379041578
ap1000,0.04,94.61372482798478
ap1000,0.04,102.80744095172325
ap1000,0.04,91.87610049673323
ap1000,0.04,83.56094661546143
ap1000,0.04,95.43238472063223
ap1000,0.04,96.94591540992211
ap1000,0.04,96.24471127821447
ap1000,0.04,103.83602537592702
ap1000,0.04,101.7007493223884
ap1000,0.04,100.52751407030193
ap1000,0.04,90.95736839217786
ap1000,0.04,97.21097341185622
ap1000,0.04,105.2085181306432
ap1000,0.04,103.21011080463761
ap1000,0.04,108.33597497228561
ap1000,0.04,105.79389116082767
ap1000,0.04,95.45081890024184
ap1000,0.04,95.86708478201363
ap1000,0.04,85.45598334406411
ap1000,0.04,100.21542119961228
ap1000,0.04,86.94504075233043
ap1000,0.04,106.67991830494763
ap1000,0.04,94.01084299502915
ap1000,0.04,101.57472275274706
ap1000,0.04,101.74722035886991
ap1000,0.04,85.79776452636243
ap1000,0.04,97.5494753239951
ap1000,0.04,82.97498502828905
ap1000,0.04,95.28958347833279
ap1000,0.04,102.34426445528379
ap1000,0.04,98.7617625110197
ap1000,0.04,97.08105156148008
ap1000,0.04,89.03944130110666
ap1000,0.04,93.81798630549345
ap1000,0.04,93.30949524640701
ap1000,0.04,98.60674573421618
ap1000,0.04,94.29860113022858
ap1000,0.04,85.24036984779808
ap1000,0.04,87.9568464383602
ap1000,0.04,87.41779835242558
ap1000,0.04,84.42549687661831
ap1000,0.04,86.16005475045966
ap1000,0.04,100.66569459277636
ap1000,0.04,100.87513530927649
ap1000,0.04,85.95336684455202
ap1000,0.04,85.29716820508303
ap1000,0.04,101.41437822536706
ap1000,0.04,99.15634698021525
ap1000,0.04,99.85073927489795
ap1000,0.04,93.95394764651586
ap1000,0.04,83.89872040320972
ap1000,0.04,93.76522769187697
ap1000,0.04,101.47955444528469
ap1000,0.04,88.04430323346051
