parameter,S1,S1_conf,ST,ST_conf,tier,wacc_scenario
WACC_government_pct,0.854303124504213,0.09062992299280645,0.8567013064823304,0.07659101642706247,2,government
capacity_factor_large_LWR_pct,0.06815403532053231,0.03287051671938139,0.06875084182454344,0.008151672183494506,1,government
ap1000_fuel_usd_per_mwh,0.04720695034135677,0.02737118590794857,0.04741137092701073,0.005290560233569225,1,government
D2O_total_upfront_capex_usd_per_1000MWe,0.024640731561243127,0.017321085743451047,0.026675987650429802,0.0034160711059006217,3,government
CANDU_vs_PWR_fuel_cost_ratio,0.003192877332545908,0.006840994985825963,0.0032469513945018033,0.0003996976833212047,1,government
decommissioning_pct_capex_large_LWR,0.00018755158965282645,0.001619079006877405,0.00021385470233150296,3.259834300296278e-05,3,government
WACC_commercial_pct,0.8418240179451011,0.0886011819490384,0.8448848157895282,0.07463286009848409,2,commercial
capacity_factor_large_LWR_pct,0.0877013124076432,0.03690019340329075,0.088287446828953,0.010254320189958692,1,commercial
D2O_total_upfront_capex_usd_per_1000MWe,0.042111808223894764,0.022569658245592556,0.044693835172576205,0.005592462972252241,3,commercial
ap1000_fuel_usd_per_mwh,0.0237939109952158,0.019874374330489275,0.0239362182481453,0.00265863494443292,1,commercial
CANDU_vs_PWR_fuel_cost_ratio,0.0016301652422433355,0.004870377708421723,0.0016392636555387426,0.0001999171375423867,1,commercial
decommissioning_pct_capex_large_LWR,2.4460907604547776e-06,0.0002146153402894904,3.455719579069052e-06,5.469289825796387e-07,3,commercial
