parameter_1,parameter_2,S2,S2_conf,wacc_scenario
WACC_government_pct,D2O_total_upfront_capex_usd_per_1000MWe,0.0036388463626854176,0.10644458100317904,government
WACC_government_pct,capacity_factor_large_LWR_pct,0.0021857758020054213,0.10893701942000653,government
D2O_total_upfront_capex_usd_per_1000MWe,ap1000_fuel_usd_per_mwh,0.0021485232092872814,0.03240872507316179,government
WACC_government_pct,ap1000_fuel_usd_per_mwh,0.001789364517602622,0.11355027450631777,government
WACC_government_pct,decommissioning_pct_capex_large_LWR,0.0017321883297079592,0.10396149402911867,government
WACC_government_pct,CANDU_vs_PWR_fuel_cost_ratio,0.001625177088610662,0.10302052241475855,government
D2O_total_upfront_capex_usd_per_1000MWe,CANDU_vs_PWR_fuel_cost_ratio,0.0015562248855918027,0.032171281110029905,government
capacity_factor_large_LWR_pct,D2O_total_upfront_capex_usd_per_1000MWe,0.0005298686849342718,0.04913766547584073,government
capacity_factor_large_LWR_pct,CANDU_vs_PWR_fuel_cost_ratio,0.0003953661162345123,0.04876244760638403,government
ap1000_fuel_usd_per_mwh,CANDU_vs_PWR_fuel_cost_ratio,0.00029851777290230584,0.03511728412020112,government
capacity_factor_large_LWR_pct,ap1000_fuel_usd_per_mwh,0.0002669436571359693,0.04938165213047905,government
decommissioning_pct_capex_large_LWR,ap1000_fuel_usd_per_mwh,2.7747648359326138e-05,0.0023872758966235366,government
decommissioning_pct_capex_large_LWR,capacity_factor_large_LWR_pct,1.8865203088844207e-05,0.002499292216689859,government
decommissioning_pct_capex_large_LWR,D2O_total_upfront_capex_usd_per_1000MWe,-1.1560131204686741e-05,0.0024517375427839947,government
decommissioning_pct_capex_large_LWR,CANDU_vs_PWR_fuel_cost_ratio,-4.744940229575723e-06,0.0024110871178378273,government
WACC_commercial_pct,D2O_total_upfront_capex_usd_per_1000MWe,0.004875862484504834,0.1064335271485333,commercial
WACC_commercial_pct,capacity_factor_large_LWR_pct,0.0028808113425083104,0.10953779972972635,commercial
D2O_total_upfront_capex_usd_per_1000MWe,ap1000_fuel_usd_per_mwh,0.0025526810657909016,0.04170274777930895,commercial
WACC_commercial_pct,ap1000_fuel_usd_per_mwh,0.0024438070990000227,0.10829303051687683,commercial
WACC_commercial_pct,decommissioning_pct_capex_large_LWR,0.0024227549549346475,0.10273393757791119,commercial
WACC_commercial_pct,CANDU_vs_PWR_fuel_cost_ratio,0.002368258735796287,0.1023015632868199,commercial
D2O_total_upfront_capex_usd_per_1000MWe,CANDU_vs_PWR_fuel_cost_ratio,0.0021246239607591003,0.04158585651281941,commercial
capacity_factor_large_LWR_pct,D2O_total_upfront_capex_usd_per_1000MWe,0.0005811641987319149,0.05606530771715135,commercial
capacity_factor_large_LWR_pct,CANDU_vs_PWR_fuel_cost_ratio,0.0004114118427451974,0.055013290503302364,commercial
capacity_factor_large_LWR_pct,ap1000_fuel_usd_per_mwh,0.000289408670182692,0.055326727214293506,commercial
ap1000_fuel_usd_per_mwh,CANDU_vs_PWR_fuel_cost_ratio,0.00020451423048965843,0.025022253782864923,commercial
decommissioning_pct_capex_large_LWR,D2O_total_upfront_capex_usd_per_1000MWe,-3.1319206481514317e-06,0.0003260104137429385,commercial
decommissioning_pct_capex_large_LWR,ap1000_fuel_usd_per_mwh,2.6479534109696834e-06,0.00031956653088777826,commercial
decommissioning_pct_capex_large_LWR,capacity_factor_large_LWR_pct,1.8409412644720957e-06,0.0003330320310437119,commercial
decommissioning_pct_capex_large_LWR,CANDU_vs_PWR_fuel_cost_ratio,-4.7075729941526215e-07,0.0003230395071396769,commercial
