parameter_1,parameter_2,S2,S2_conf,wacc_scenario
WACC_government_pct,capacity_factor_large_LWR_pct,0.002283296788972128,0.10763295448590128,government
WACC_government_pct,ap1000_fuel_usd_per_mwh,0.0007550357942423709,0.10822662435627137,government
WACC_government_pct,decommissioning_pct_capex_large_LWR,0.0006042541478206386,0.1077236219475906,government
decommissioning_pct_capex_large_LWR,ap1000_fuel_usd_per_mwh,-0.0003059956201282993,0.0023994447308504506,government
decommissioning_pct_capex_large_LWR,capacity_factor_large_LWR_pct,-0.0002932251708994277,0.0025462749537435644,government
capacity_factor_large_LWR_pct,ap1000_fuel_usd_per_mwh,-9.9973011680448e-05,0.03911428816888615,government
WACC_commercial_pct,capacity_factor_large_LWR_pct,0.0025289986540371623,0.10952744353170613,commercial
WACC_commercial_pct,ap1000_fuel_usd_per_mwh,0.0009019941497562679,0.10819386458262456,commercial
WACC_commercial_pct,decommissioning_pct_capex_large_LWR,0.0008738081241378657,0.10829377600156202,commercial
capacity_factor_large_LWR_pct,ap1000_fuel_usd_per_mwh,-0.0002717778150394517,0.04746178835352621,commercial
decommissioning_pct_capex_large_LWR,ap1000_fuel_usd_per_mwh,-5.0620423818207444e-05,0.00030005605594497027,commercial
decommissioning_pct_capex_large_LWR,capacity_factor_large_LWR_pct,-4.884430065169032e-05,0.00032487519618981144,commercial
