parameter,S1,S1_conf,ST,ST_conf,tier,wacc_scenario
WACC_government_pct,0.5793868442363196,0.07460584077429157,0.5880207385541049,0.06536580090231302,2,government
AP1000_CAPEX_usd_per_kW,0.36210786958055086,0.06365324403164076,0.3655979018727154,0.039960475790912074,2,government
capacity_factor_large_LWR_pct,0.032501613444820734,0.020402413718884276,0.03302989064464356,0.00423679227877006,1,government
ap1000_fuel_usd_per_mwh,0.02254826683598847,0.018331935466565558,0.02224077295780414,0.002282402792089218,1,government
decommissioning_pct_capex_large_LWR,0.00010410984879362629,0.0015059122046790498,0.00014552114287569854,2.269043317103197e-05,3,government
AP1000_CAPEX_usd_per_kW,0.48990566583255063,0.07182838320340182,0.4928621985877559,0.05156449612829178,2,commercial
WACC_commercial_pct,0.4599752855469312,0.0683503286831353,0.46672831390137065,0.053531350544510296,2,commercial
capacity_factor_large_LWR_pct,0.03876217669707001,0.021881172649171384,0.039265044065085526,0.005088246139117105,1,commercial
ap1000_fuel_usd_per_mwh,0.009209160714756269,0.011808665824599409,0.009034732299699281,0.0009266395078076663,1,commercial
decommissioning_pct_capex_large_LWR,1.356105554293279e-07,0.0001692082870772249,1.887396755425706e-06,3.2076151379772266e-07,3,commercial
