parameter,S1,S1_conf,ST,ST_conf,tier,wacc_scenario
WACC_government_pct,0.7079635592784668,0.09145261370089519,0.7222035346594398,0.07344234336410939,2,government
CANDU_EC6_CAPEX_usd_per_kW,0.1360927840730323,0.051894128530956665,0.13845888935703096,0.01949713477537887,2,government
capacity_factor_CANDU_EC6_pct,0.05947910623760891,0.02996810619461167,0.06141514797419967,0.008080078144116626,2,government
CANDU_EC6_OM_usd_per_mwh,0.0601554198812484,0.029145192708797823,0.058988298930989023,0.007144607525161054,3,government
construction_years_CANDU_EC6,0.015256722529264672,0.019906469443436138,0.023609422101744115,0.0036385747835720353,2,government
ap1000_fuel_usd_per_mwh,0.003888806603621783,0.006564818256298254,0.0035653284750900836,0.00046259292851758986,1,government
D2O_total_upfront_capex_usd_per_1000MWe,0.0030376591215053755,0.0067269559919955,0.003189659458044567,0.0004329121186048908,3,government
CANDU_vs_PWR_fuel_cost_ratio,0.00020909360100220437,0.002000567906423326,0.00024342440888608117,3.642638778357623e-05,1,government
decommissioning_pct_capex_CANDU,-9.975539264468248e-05,0.0016764080694681486,0.00019344749700084797,3.069095449582418e-05,3,government
D2O_annual_makeup_opex_usd_per_year,0.0001249166382976163,0.000895068252221087,7.121619141065502e-05,9.893968331976235e-06,2,government
WACC_commercial_pct,0.62131254254737,0.08875874941635843,0.643700914762148,0.06717660735480825,2,commercial
CANDU_EC6_CAPEX_usd_per_kW,0.16719474794847528,0.05695117595211263,0.1705727033064935,0.024844575881094566,2,commercial
construction_years_CANDU_EC6,0.0944297590958592,0.04354493458181318,0.11210758402390064,0.015692372235168825,2,commercial
capacity_factor_CANDU_EC6_pct,0.07289394028138031,0.033505779157533264,0.07527575965804341,0.009775982739164833,2,commercial
CANDU_EC6_OM_usd_per_mwh,0.016297155434478145,0.01539590568066489,0.01568558102347788,0.0020177876706897646,3,commercial
D2O_total_upfront_capex_usd_per_1000MWe,0.0037769497081945784,0.0072864398959533155,0.0039296992008752045,0.0005316377206764253,3,commercial
ap1000_fuel_usd_per_mwh,0.0012559073464736658,0.0033750013431087804,0.0009480566431787506,0.00012449608295934543,1,commercial
CANDU_vs_PWR_fuel_cost_ratio,5.976307868740051e-05,0.0010304927434372276,6.472899469675703e-05,9.730322431513509e-06,1,commercial
D2O_annual_makeup_opex_usd_per_year,5.0808942812548686e-05,0.0004593291902226122,1.8937100421598095e-05,2.6300137545996946e-06,2,commercial
decommissioning_pct_capex_CANDU,-2.8487143189930033e-05,0.00015381413770462199,1.648244408194821e-06,2.874865364817719e-07,3,commercial
