parameter,lcoe_at_min,lcoe_at_max,range,tier,wacc_scenario
WACC_government_pct,85.27760569877658,134.83319386164933,49.55558816287275,2,government
AP1000_CAPEX_usd_per_kW,85.89404571960404,113.21785444364792,27.323808724043886,2,government
AP1000_OM_usd_per_mwh,98.97142617213144,107.9714261721315,9.000000000000057,2,government
capacity_factor_large_LWR_pct,109.39293860781126,101.01505141574147,8.377887192069792,1,government
construction_years_AP1000,101.34230533172416,104.64024563097334,3.297940299249177,2,government
decommissioning_pct_capex_large_LWR,102.71841728317865,103.22443506108421,0.506017777905555,3,government
WACC_commercial_pct,173.0369936904684,268.89121064130103,95.85421695083264,2,commercial
AP1000_CAPEX_usd_per_kW,164.33365039277234,224.68466108446597,60.35101069169363,2,commercial
capacity_factor_large_LWR_pct,215.46854022155708,197.96587009497145,17.502670126585627,1,commercial
construction_years_AP1000,194.78725685755327,209.67801694520594,14.890760087652666,2,commercial
AP1000_OM_usd_per_mwh,198.05303207508086,207.05303207508092,9.000000000000057,2,commercial
decommissioning_pct_capex_large_LWR,202.00498458065687,202.10107956950475,0.09609498884788081,3,commercial
