parameter,lcoe_at_min,lcoe_at_max,range,tier,wacc_scenario
WACC_government_pct,84.66957308414216,129.36774566252703,44.69817257838487,2,government
CANDU_EC6_CAPEX_usd_per_kW,91.44151654414152,110.32911880252101,18.887602258379488,2,government
CANDU_EC6_OM_usd_per_mwh,95.88531767333129,109.88531767333129,14.0,3,government
capacity_factor_CANDU_EC6_pct,110.79516202025405,97.11013887450355,13.685023145750506,2,government
construction_years_CANDU_EC6,99.31262612328382,105.83556065777276,6.52293453448894,2,government
D2O_total_upfront_capex_usd_per_1000MWe,100.04212114393931,102.90898934387195,2.8668681999326395,3,government
decommissioning_pct_capex_CANDU,100.5572725034953,101.3445809111015,0.7873084076062042,3,government
D2O_annual_makeup_opex_usd_per_year,100.74754409436737,101.21991065081511,0.4723665564477386,2,government
WACC_commercial_pct,162.44520314928118,241.251865119053,78.80666196977182,2,commercial
CANDU_EC6_CAPEX_usd_per_kW,167.32091593209387,206.4430246939273,39.12210876183343,2,commercial
construction_years_CANDU_EC6,180.3519169613213,208.44955156936535,28.097634608044046,2,commercial
capacity_factor_CANDU_EC6_pct,206.71450534912714,179.32671887068037,27.38778647844677,2,commercial
CANDU_EC6_OM_usd_per_mwh,181.8819703130105,195.8819703130106,14.000000000000114,3,commercial
D2O_total_upfront_capex_usd_per_1000MWe,185.1354476004287,191.07362482320704,5.938177222778336,3,commercial
D2O_annual_makeup_opex_usd_per_year,186.74419673404654,187.2165632904943,0.47236655644775283,2,commercial
decommissioning_pct_capex_CANDU,186.81967310071215,186.9691864102285,0.149513309516351,3,commercial
